Name: CCTV-4, URL: https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-1, URL: https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-1, URL: http://goo.bkpcp.top/mg/cctv1$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-1, URL: http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-1, URL: http://z.b.bkpcp.top/m.php?id=cctv1$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-17, URL: http://tv.20191209.xyz:37377/migu/673168256$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 300 ms
Name: 香港卫视, URL: http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=xianggangweishi&P2PChannelID=pd://cctv_p2p_hdxianggangweishi$订阅源, Date: None, Resolution: None, Response Time: 78 ms
Name: 广东卫视, URL: http://j.x.bkpcp.top/jx/GUANGDHD$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江卫视, URL: http://zhfivel02.cztv.com/channel01/1080p.m3u8?auth_key=2524708799-0-0-adde67b1b344fdd5e512f30a4ae31915$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江卫视, URL: http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 浙江卫视, URL: https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Can not load response cookies: Illegal key 'session820/qualitor820'
Can not load response cookies: Illegal key 'session820/qualitor820'
Name: 深圳卫视, URL: http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 300 ms
Name: 广东体育, URL: http://api3.52tb.xyz/info?id=413&token=20221127jxwhhemby$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 1 ms
Name: 广东珠江, URL: http://cdn2.163189.xyz/live/gdzj/stream.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 大湾区卫视, URL: https://www.freetv.top/migu/608917627.m3u8?migutoken=22c28ab72744cd3ae1500fcedd9aa645eb0c35326cccb8cc6253c912a2fbdadb109d5f005d7dbbb62dbcb2e1f9a30bfa1935a4a046787bb5ac3e9ac1b5b654c16c2f7753fc37d2d51b2916310b$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 300 ms
Name: 翡翠台, URL: https://cdn3.163189.xyz/live/fct/stream.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 251 ms
Name: 翡翠台, URL: http://cdn5.1678520.xyz/live/?id=fct$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 251 ms
Name: 翡翠台, URL: http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 251 ms
Name: 翡翠台, URL: https://cdn5.1678520.xyz/live/live2.1.php?id=j1$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 300 ms
Name: 翡翠台, URL: http://aktv_stream1.m16tv.cfd/stream/aktv/null/AKTV.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 500 ms
Name: 凤凰中文, URL: http://cdn.163189.xyz/live/fhzw/stream.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: TVBS亚洲, URL: http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 凤凰卫视, URL: http://cdn.132.us.kg/live/fhzw/stream.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 凤凰香港, URL: http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.345888.xyz.cdn.cloudflare.net/gt/aktv.php?variable=null-5$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: Viutv, URL: https://turkmedya-live.ercdn.net/tv360/tv360.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 纬来体育, URL: http://ku9.fr.to/smt.php?id=videolandsport$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 无线新闻, URL: https://nothingbe.serv00.net/tvb.php?id=C&type=hd$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 无线新闻, URL: https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 无线新闻, URL: http://cdn.iptv8k.top/dl/jspd.php?id=2$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 600 ms
Name: CHC家庭影院, URL: http://api2.52tb.xyz/info?id=220&token=20230218jsyklh$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 1 ms
Name: CHC家庭影院, URL: http://gat.bkpcp.top/ymg.php?id=jtyy$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 黑莓电影, URL: http://feiyang.ak47s.top:35455/itv/1000000004000019624.m3u8?cdn=ystenlive$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 靖天戏剧, URL: http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv058$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 安徽综艺体育, URL: http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 动漫秀场, URL: http://124.248.69.76:26781/douyu/9548279$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 240 ms
Name: 动漫秀场, URL: http://61.133.118.228:5001/douyu/9548279$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 240 ms
Name: CN卡通, URL: http://125.227.210.55:8167/VideoInput/play.ts$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 300 ms
Can not load response cookies: Illegal key 'session820/qualitor820'
Name: 浙江少儿, URL: https://ct-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$1920x1080|订阅源, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源, Date: None, Resolution: None, Response Time: 399 ms
Name: CCTV-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源, Date: None, Resolution: None, Response Time: 399 ms
