更新时间,#genre#
2024-12-25 18:44:58,url
📺央视频道,#genre#
CCTV-1,http://114.243.110.0:4000/rtp/239.3.1.129:8008$1920x1080|组播源
CCTV-1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$1920x1080|组播源
CCTV-1,http://123.117.174.237:30000/rtp/239.3.1.129:8008$1920x1080|组播源
CCTV-1,http://122.9.151.210:7337/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://123.56.129.203:9030/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://123.56.129.203:9030/rtp/225.1.8.101:8080$北京电信组播源
CCTV-1,http://120.55.49.231:5127/rtp/233.50.201.222:5140$浙江电信组播源
CCTV-1,http://120.55.49.231:5127/rtp/233.50.201.99:5140$浙江电信组播源
CCTV-1,http://122.9.151.210:2669/rtp/238.255.2.91:5999$组播源
CCTV-1,http://122.9.151.210:8088/rtp/238.255.2.91:5999$组播源
CCTV-1,http://222.129.139.229:8888/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-1,http://222.129.139.91:8888/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-1,http://119.32.12.32:2901/udp/224.1.100.90:11111$1920x1080|订阅源
CCTV-1,http://221.222.162.206:8888/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-1,http://wouu.net:9977/udp/239.93.0.184:5140$1920x1080|订阅源
CCTV-1,http://114.249.215.204:9888/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-1,http://114.249.230.215:9888/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-1,http://123.113.187.204:8000/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-1,http://111.196.135.75:8686/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-1,http://123.113.249.203:8888/udp/239.3.1.129:8008$1920x1080|订阅源
CCTV-2,http://122.9.151.210:7337/rtp/238.255.2.11:5999$贵州电信组播源
CCTV-2,http://123.56.129.203:9030/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://123.56.129.203:9030/rtp/225.1.8.102:8004$北京电信组播源
CCTV-2,http://120.55.49.231:5127/rtp/233.50.201.119:5140$浙江电信组播源
CCTV-2,http://120.55.49.231:5127/rtp/233.50.201.2:5140$浙江电信组播源
CCTV-2,http://122.9.151.210:8088/rtp/238.255.2.11:5999$组播源
CCTV-2,http://122.9.151.210:2669/rtp/238.255.2.11:5999$组播源
CCTV-2,http://122.9.151.210:6209/rtp/238.255.2.11:5999$组播源
CCTV-2,http://123.56.129.203:7637/rtp/225.1.8.2:8084$组播源
CCTV-2,http://123.56.129.203:7637/rtp/225.1.8.102:8004$组播源
CCTV-2,http://gslbserv.itv.cmvideo.cn/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=3$订阅源
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/1.m3u8?channelid=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV-2,http://119.163.199.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://www.72444165.xyz:5005/itv/ystenlive/1000000001000023315$订阅源
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源
CCTV-3,http://122.9.151.210:7337/rtp/238.255.2.133:5999$贵州电信组播源
CCTV-3,http://123.56.129.203:9030/rtp/225.1.8.88:8000$北京电信组播源
CCTV-3,http://123.56.129.203:9030/rtp/225.1.8.92:8000$北京电信组播源
CCTV-3,http://120.55.49.231:5127/rtp/233.50.201.196:5140$浙江电信组播源
CCTV-3,http://120.55.49.231:5127/rtp/233.50.201.16:5140$浙江电信组播源
CCTV-3,http://122.9.151.210:2669/rtp/238.255.2.133:5999$组播源
CCTV-3,http://122.9.151.210:8088/rtp/238.255.2.133:5999$组播源
CCTV-3,http://122.9.151.210:6209/rtp/238.255.2.133:5999$组播源
CCTV-3,http://123.56.129.203:7637/rtp/225.1.8.92:8000$组播源
CCTV-3,http://123.56.129.203:7637/rtp/225.1.8.88:8000$组播源
CCTV-3,http://39.134.136.161:6610/000000001000/5000000002000020548/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000020548$1920x1080|订阅源
